"","sample_id","sample.type","sample.day","genotype","fertilization","ecostyle","replicates","soil_moisture","wet","pH_water","pH_kcl","Ecp","Eb","Ecb","nitraat","ammonia","shoot_length","root_length","shoot_dry_weight","root_dry_weight","tuber_dry_weight","root_shoot_ratio","tuber_fresh_weight"
"1","SS1_16S","Bulk","Day 0","Control","no","no","A",8.26028821868966,0.059,5.72,5.26,"too dry",3.6,1,24.2166018074245,1.30515043092118,NA,NA,NA,NA,NA,NA,NA
"2","SS2_16S","Bulk","Day 0","Control","no","no","B",8.36472888549763,0.039,5.665,5.205,"too dry",3,0,31.2763278931899,1.76912618246712,NA,NA,NA,NA,NA,NA,NA
"3","SS3_16S","Bulk","Day 0","Control","no","no","C",8.33333333333333,0.06,5.625,5.18,"too dry",3.6,1,33.1679413430846,1.80116980963663,NA,NA,NA,NA,NA,NA,NA
"4","SS4_16S","Bulk","Day 0","Control","no","no","D",8.49597048257112,0.059,5.79,5.365,"too dry",3.6,1,35.6009281951712,1.65266784798261,NA,NA,NA,NA,NA,NA,NA
"5","SS5_16S","Bulk","Day 0","Control","no","no","E",8.55056342796344,0.052,5.715,5.31,"too dry",3.4,1,30.4268195213629,1.2453144378341,NA,NA,NA,NA,NA,NA,NA
"6","TP1_16S","Rhizosphere","8 weeks","Control","low","no","A",7.24375226367259,0.077,5.51,5.245,"too dry",4.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","TP10_16S","Rhizosphere","5 weeks","Desiree","high","yes","A",6.05853741786843,0.047,5.62,5.39,"too dry",3.2,1,NA,NA,37,58,1.7142,0.1257,9.96,7.33286664333217,40
"8","TP100_16S","Rhizosphere","8 weeks","Jelly","low","no","E",7.25846002942619,0.069,6.03,5.385,"too dry",3.9,0,NA,NA,19,12,1.008,0.1879,13.98,18.640873015873,41
"9","TP101_16S","Rhizosphere","8 weeks","Control","low","no","E",16.1647203441918,0.336,5.835,5.44,"277",17.8,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","TP102_16S","Rhizosphere","5 weeks","Desiree","low","no","E",11.4845377343374,0.114,6.02,5.575,"too dry",5.6,1,NA,NA,35,44,1.2526,0.1284,7.58,10.2506785885358,28.7
"11","TP103_16S","Rhizosphere","8 weeks","Jelly","high","yes","E",5.86538461538463,0.093,5.54,5.215,"too dry",4.8,4,NA,NA,25,20.5,2.144,0.1586,17.01,7.39738805970149,58
"12","TP104_16S","Rhizosphere","8 weeks","Danuta","high","yes","E",14.6293568973981,0.223,5.46,5.275,"302",10.7,25,NA,NA,23,7,0.403,0.0422,4.95,10.4714640198511,11
"13","TP106_16S","Rhizosphere","8 weeks","Jelly","high","no","E",9.65346534653463,0.128,5.535,5.215,"too dry",6.1,7,NA,NA,31,32,2.062,0.3924,15.37,19.0300678952473,63
"14","TP107_16S","Rhizosphere","8 weeks","Desiree","low","yes","E",9.86055776892429,0.118,6.03,5.455,"too dry",5.7,2,NA,NA,24,44.5,1.214,0.1225,9.41,10.0906095551895,29
"15","TP108_16S","Rhizosphere","8 weeks","Desiree","low","no","E",6.86653771760156,0.073,5.97,5.335,"too dry",4.1,0,NA,NA,24,47,1.064,0.1192,9.31,11.203007518797,35
"16","TP11_16S","Rhizosphere","8 weeks","Jelly","low","yes","A",8.06663743971941,0.029,6.13,5.32,"too dry",2.7,-1,NA,NA,26,26.5,1.214,0.199,13.26,16.3920922570016,47
"17","TP110_16S","Rhizosphere","8 weeks","Jelly","low","yes","E",11.9866284622732,0.145,6.225,5.57,"too dry",6.9,2,NA,NA,30,22.5,1.262,0.252,11.67,19.9683042789223,43
"18","TP111_16S","Rhizosphere","8 weeks","Danuta","high","no","E",12.5786163522013,0.24,5.41,5.21,"288",11.7,28,NA,NA,29,10,1.257,0.0844,9.48,6.71439936356404,29
"19","TP112_16S","Rhizosphere","8 weeks","Desiree","high","yes","E",7.02676864244743,0.094,5.45,5.18,"too dry",4.8,4,NA,NA,29,42,1.665,0.1986,13.55,11.9279279279279,50
"20","TP114_16S","Rhizosphere","5 weeks","Desiree","high","no","E",7.96885636487405,0.045,5.485,5.3,"too dry",3.2,1,NA,NA,34,34,1.7797,0.1868,13.08,10.4961510366916,48
"21","TP115_16S","Rhizosphere","8 weeks","Control","low","yes","E",19.5478723404255,0.387,6.26,5.795,"141",21.6,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","TP116_16S","Rhizosphere","5 weeks","Desiree","low","yes","E",16.2964186417816,0.318,5.85,5.51,"154",16.6,24,NA,NA,32.5,13,0.3962,0.0441,4.77,11.13074204947,13.6
"23","TP117_16S","Rhizosphere","8 weeks","Control","high","no","E",16.0164436562954,0.373,5.61,5.41,"487",20.6,101,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","TP118_16S","Rhizosphere","8 weeks","Desiree","high","no","E",10.8758974358975,0.177,5.525,5.225,"233",8.3,12,NA,NA,32,23,1.72,0.1919,14.4,11.156976744186,55
"25","TP119_16S","Rhizosphere","8 weeks","Control","high","yes","E",16.0559151428642,0.374,5.745,5.52,"386",20.6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
